"Best parameters:
,""{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""

Score:,0.7537037037037037
0.74074 (+/-0.14239) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 77, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.16638) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 78, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15108) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 78, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.16355) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 79, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.14750) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 79, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74815 (+/-0.15432) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 80, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14064) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 80, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.72963 (+/-0.15564) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.72037 (+/-0.08575) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.69630 (+/-0.23171) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 21, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.69444 (+/-0.14600) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 21, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.10823) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.69259 (+/-0.20774) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 22, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.71481 (+/-0.13769) for {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': 23, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

